Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,655.85,674.05,655.85,663.45,665.466478696741854636,3192,345,2124169.00,1903,59.62,18.20,7.60
24-December-2019,663.00,663.00,650.05,660.35,657.135210396039603960,3232,205,2123861.00,1237,38.27,12.95,-2.65
23-December-2019,662.00,673.95,660.00,660.20,665.103843008994276369,2446,185,1626844.00,905,37.00,13.95,-1.80
20-December-2019,688.00,688.00,653.70,658.40,662.986747802569303583,7395,608,4902787.00,3544,47.92,34.30,-29.60
19-December-2019,686.00,694.05,678.00,684.70,688.271403197158081705,8445,790,5812452.00,1733,20.52,16.05,-1.30
18-December-2019,661.10,694.50,656.00,685.35,680.966502831499091783,18718,1557,12746331.00,2870,15.33,38.50,24.25
17-December-2019,636.00,697.95,614.00,669.65,671.467561081166148640,50834,3784,34133382.00,5170,10.17,83.95,33.65
16-December-2019,618.95,637.45,610.00,626.50,618.362664847658026375,4398,257,2719559.00,2268,51.57,27.45,7.55
13-December-2019,617.20,619.65,610.85,612.80,615.092768887988657079,4937,342,3036713.00,392,7.94,8.80,-4.40
12-December-2019,616.00,623.85,611.50,614.25,619.809483926152968850,56116,427,34781229.00,52322,93.24,12.35,-1.75
11-December-2019,614.50,623.40,609.10,612.85,616.490226739640344018,3837,457,2365473.00,581,15.14,14.30,-1.65
10-December-2019,604.50,625.75,602.50,620.35,615.141261171797418073,4028,416,2477789.00,367,9.11,23.25,15.85
9-December-2019,624.40,627.50,602.35,606.20,613.845313398504887866,1739,218,1067477.00,1025,58.94,25.15,-18.20
6-December-2019,639.00,652.45,622.05,623.50,633.369963369963369963,1911,252,1210370.00,537,28.10,30.40,-15.50
5-December-2019,638.50,646.30,624.75,626.60,631.427030456852791878,1576,165,995129.00,720,45.69,21.55,-11.90
4-December-2019,653.35,653.35,633.25,637.75,644.329889645456679971,4259,526,2744201.00,1252,29.40,20.10,-15.60
3-December-2019,657.55,667.90,644.45,647.80,658.761481481481481481,2700,360,1778656.00,1078,39.93,23.45,-9.75
2-December-2019,654.90,668.00,652.00,657.15,660.246729708431836091,12690,308,8378531.00,11067,87.21,16.00,2.25
29-November-2019,658.00,669.50,649.40,650.95,657.504151652827823907,6383,575,4196849.00,3564,55.84,20.10,-7.05
28-November-2019,637.20,660.00,632.00,651.25,651.049501346727815389,27474,1104,17886934.00,20490,74.58,28.00,14.05
27-November-2019,643.00,643.10,628.65,629.45,636.762752075919335705,1686,97,1073582.00,1033,61.27,14.45,-13.55
26-November-2019,649.05,651.00,630.00,642.45,639.294759163889730384,9903,1684,6330936.00,7540,76.14,21.00,-6.60
25-November-2019,650.00,652.00,628.35,639.95,639.731355470876428960,7348,519,4700746.00,4317,58.75,23.65,-10.05
22-November-2019,628.30,654.50,626.00,651.15,646.289786585365853658,6560,643,4239661.00,2625,40.02,28.50,22.85
21-November-2019,654.25,658.30,625.15,627.90,631.318107787977494817,13508,1455,8527845.00,7825,57.93,33.15,-26.35
20-November-2019,660.95,702.00,642.45,652.75,668.735550708833151581,42182,2857,28208603.00,12983,30.78,59.55,-8.20
19-November-2019,660.00,670.00,638.45,658.20,654.796683734447142299,79487,2154,52047824.00,56220,70.73,31.55,-1.80
18-November-2019,602.75,695.50,602.70,659.60,656.926241021971323315,75462,5436,49572968.00,20555,27.24,92.80,56.85
15-November-2019,592.05,600.00,592.00,594.20,594.815405968077723802,1441,136,857129.00,990,68.70,8.00,2.15
14-November-2019,597.45,613.00,590.00,595.50,598.513928571428571428,2800,275,1675839.00,1230,43.93,23.00,-1.95
13-November-2019,575.30,598.00,575.00,592.75,585.572210178589862702,9687,462,5672438.00,6727,69.44,23.00,17.45
11-November-2019,542.00,577.70,536.85,565.15,565.592494391189067917,4903,700,2773100.00,2243,45.75,40.85,23.15
8-November-2019,558.05,558.05,540.70,544.15,549.533333333333333333,2085,259,1145777.00,1199,57.51,17.35,-13.90
7-November-2019,554.40,559.75,546.95,553.15,552.266097750193948797,1289,199,711871.00,872,67.65,12.80,-1.25
6-November-2019,556.25,557.90,551.20,553.60,554.336683417085427135,199,33,110313.00,146,73.37,6.70,-2.65
5-November-2019,571.00,576.00,554.70,560.25,567.809112709832134292,2085,278,1183882.00,759,36.40,21.30,-10.75
4-November-2019,571.00,577.45,562.45,565.30,567.987238979118329466,862,249,489605.00,450,52.20,15.00,-5.70
1-November-2019,551.25,575.00,549.00,564.20,562.343823234014060930,2987,277,1679721.00,1294,43.32,26.00,12.95
31-October-2019,559.50,559.50,551.25,554.90,554.670498084291187739,1044,118,579076.00,638,61.11,8.25,-4.60
30-October-2019,551.05,571.00,549.85,557.70,559.441542288557213930,804,88,449791.00,421,52.36,21.15,6.65
29-October-2019,548.50,583.35,548.50,558.40,566.110103972274060250,3751,590,2123479.00,1975,52.65,34.85,9.90
27-October-2019,540.00,560.00,539.00,548.55,548.927947598253275109,916,120,502818.00,574,62.66,21.00,8.55
25-October-2019,538.15,540.00,533.95,534.35,537.434180138568129330,866,57,465418.00,737,85.10,6.05,-3.80
24-October-2019,534.90,546.95,534.20,538.65,541.276287553648068669,3728,648,2017878.00,1544,41.42,12.75,3.75
23-October-2019,556.00,556.00,528.00,533.80,533.023320895522388059,1072,177,571401.00,351,32.74,28.00,-22.20
22-October-2019,523.30,528.25,515.00,524.55,523.145161290322580645,806,108,421655.00,405,50.25,13.25,1.25
18-October-2019,520.30,534.10,517.00,523.90,525.299180327868852459,1708,313,897211.00,634,37.12,17.10,3.60
17-October-2019,513.80,522.20,513.80,515.10,516.147874306839186691,541,49,279236.00,282,52.13,8.40,1.30
16-October-2019,512.50,514.40,500.25,510.65,513.076422058184976118,11515,1913,5908075.00,9875,85.76,14.15,-1.85
15-October-2019,513.75,517.15,511.45,514.75,514.630695443645083932,417,38,214601.00,294,70.50,5.70,1.00
14-October-2019,516.05,520.95,514.00,516.65,517.507936507936507936,63,20,32603.00,41,65.08,6.95,0.60
11-October-2019,510.45,518.05,509.00,510.40,511.908136482939632545,762,93,390074.00,486,63.78,9.05,-0.05
10-October-2019,514.70,518.35,508.60,512.80,512.771628156904889844,1861,78,954268.00,1254,67.38,9.75,-1.90
9-October-2019,502.75,514.90,502.75,510.45,510.390052356020942408,382,45,194969.00,242,63.35,12.15,7.70
7-October-2019,540.00,540.00,502.70,503.45,509.176991150442477876,678,66,345222.00,326,48.08,37.30,-36.55
4-October-2019,512.85,519.25,511.95,513.60,514.375321336760925449,389,44,200092.00,253,65.04,7.30,0.75
3-October-2019,511.45,516.80,510.65,512.50,512.087193460490463215,367,98,187936.00,289,78.75,6.15,1.05
1-October-2019,511.40,516.85,502.50,508.95,510.687082842559874361,2547,227,1300720.00,1079,42.36,14.35,-2.45
30-September-2019,513.40,523.70,508.65,512.10,516.252988898377455166,4684,411,2418129.00,2170,46.33,15.05,-1.30
27-September-2019,514.45,524.00,506.90,508.80,512.181414525848398350,3153,205,1614908.00,2104,66.73,17.10,-5.65
26-September-2019,534.00,534.75,512.45,517.15,523.713364847443059733,6981,384,3656043.00,2410,34.52,22.30,-16.85
25-September-2019,498.90,520.00,498.90,514.75,514.638263405151466061,6173,404,3176862.00,2164,35.06,21.10,15.85
24-September-2019,506.00,519.90,500.65,503.80,509.533970276008492569,942,116,479981.00,183,19.43,19.25,-2.20
23-September-2019,494.75,517.00,494.75,505.30,503.518973695558430357,4638,292,2335321.00,3306,71.28,22.25,10.55
20-September-2019,473.05,493.55,467.60,488.55,484.395022335673261008,1567,90,759047.00,1087,69.37,25.95,15.50
19-September-2019,475.25,478.25,474.15,477.05,475.678240740740740740,432,22,205493.00,354,81.94,4.10,1.80
18-September-2019,482.85,482.85,476.00,476.55,477.763066202090592334,287,22,137118.00,199,69.34,6.85,-6.30
17-September-2019,484.90,484.90,475.40,481.00,479.033802816901408450,710,47,340114.00,520,73.24,9.50,-3.90
16-September-2019,487.00,490.00,480.00,483.70,483.161559888579387186,718,58,346910.00,532,74.09,10.00,-3.30
13-September-2019,484.00,490.20,480.25,480.60,482.244969378827646544,1143,53,551206.00,710,62.12,9.95,-3.40
12-September-2019,497.60,497.60,476.00,483.50,484.934441805225653206,4210,179,2041574.00,2520,59.86,21.60,-14.10
11-September-2019,517.00,527.50,493.60,494.80,500.304000000000000000,2125,175,1063146.00,1051,49.46,33.90,-22.20
9-September-2019,498.80,503.85,496.95,500.50,500.026402640264026402,1212,39,606032.00,1043,86.06,6.90,1.70
6-September-2019,501.80,504.60,500.00,501.10,500.976572133168927250,811,66,406292.00,695,85.70,4.60,-0.70
5-September-2019,494.15,503.65,493.50,502.30,500.007164790174002047,977,52,488507.00,629,64.38,10.15,8.15
4-September-2019,502.35,502.35,492.05,495.60,496.489690721649484536,388,33,192638.00,123,31.70,10.30,-6.75
3-September-2019,500.00,504.85,498.00,499.80,501.010152284263959390,591,47,296097.00,390,65.99,6.85,-0.20
30-August-2019,499.25,504.90,497.80,502.30,501.069053708439897698,391,38,195918.00,236,60.36,7.10,3.05
29-August-2019,509.90,510.00,491.20,494.75,498.159013867488443759,3245,131,1616526.00,2257,69.55,18.80,-15.15
28-August-2019,522.00,524.00,504.90,509.25,513.809483667017913593,4745,225,2438026.00,2098,44.21,19.10,-12.75
27-August-2019,517.75,517.75,495.25,498.35,498.903547671840354767,5412,370,2700066.00,3654,67.52,22.50,-19.40
26-August-2019,500.00,509.10,491.50,492.85,498.905457670820799312,2327,155,1160953.00,1832,78.73,17.60,-7.15
23-August-2019,478.00,503.00,478.00,500.35,494.805895039539899352,1391,318,688275.00,575,41.34,25.00,22.35
22-August-2019,481.10,482.70,477.00,479.50,479.064245810055865921,358,45,171505.00,165,46.09,5.70,-1.60
21-August-2019,490.85,491.50,480.20,481.25,483.232937685459940652,1348,70,651398.00,1100,81.60,11.30,-9.60
20-August-2019,504.00,506.90,491.55,495.95,497.224293059125964010,1556,91,773681.00,767,49.29,15.35,-8.05
19-August-2019,506.00,506.20,494.70,499.50,501.690062111801242236,1610,179,807721.00,964,59.88,11.50,-6.50
16-August-2019,513.80,515.00,496.75,506.90,504.957377049180327868,610,69,308024.00,302,49.51,18.25,-6.90
14-August-2019,486.95,524.90,485.35,514.45,513.245468175003407387,7337,814,3765682.00,845,11.52,39.55,27.50
