Company1,Company2,Value
1,1,1.0
1,2,-0.27617258931521327
1,3,-0.06949954104242806
1,4,0
1,5,0.04972361205883897
1,6,-0.02799317191533632
1,7,-0.12398350793664879
1,8,0.3908070886862089
1,9,0.6066805030712362
1,10,0.14338522998617706
1,11,0.6288857986189273
1,12,0.05352216473954823
1,13,0.04873566522944808
1,14,-0.07133580057573867
1,15,0.04004739174964507
1,16,0.20710380555832575
1,17,0.4464645347701053
1,18,0.2228638969762993
1,19,-0.19338966557818138
1,20,-0.10252151655035019
1,21,-0.23841685494012083
1,22,-0.27829116343960864
1,23,-0.29483063889637456
1,24,-0.25403371637637784
1,25,0.45689550592434924
1,26,-0.2802594601221845
1,27,0.3383675700444163
1,28,0.03223461747526767
1,29,0.17346830473110902
1,30,0.35770544324088277
2,1,-0.27617258931521327
2,2,1.0
2,3,0.3733293074928421
2,4,0
2,5,-0.8547861223448413
2,6,-0.3912553997126496
2,7,-0.15101368522408365
2,8,-0.3910000838592029
2,9,-0.15440861164943465
2,10,-0.4500314605948818
2,11,-0.4606290988483867
2,12,-0.8639066197137306
2,13,-0.4820372037368855
2,14,-0.30254597443419196
2,15,-0.4739726264851367
2,16,0.5213466291028382
2,17,-0.8680012468066056
2,18,-0.1492420204854936
2,19,-0.2221374063630915
2,20,-0.13528864409375035
2,21,-0.2583256112955267
2,22,0.24457547619304915
2,23,0.9217667110319521
2,24,0.8606525806205951
2,25,-0.030038490799212225
2,26,0.6574838048837669
2,27,-0.7435406379542477
2,28,-0.5561783555840665
2,29,-0.5290098685964499
2,30,-0.7125922355076999
3,1,-0.06949954104242806
3,2,0.3733293074928421
3,3,1.0
3,4,0
3,5,-0.18941728668141194
3,6,-0.2317257092916463
3,7,-0.0694094788872541
3,8,-0.39102476188210433
3,9,-0.0812625575524534
3,10,-0.026935016156309506
3,11,-0.3604133049157894
3,12,-0.14964542618972299
3,13,-0.09969487671213732
3,14,-0.2162501418712922
3,15,-0.09312788613770635
3,16,-0.05780885150079796
3,17,-0.22597837097996853
3,18,-0.46544744264907406
3,19,-0.10601872729844124
3,20,-0.06465406722225446
3,21,-0.1474895958247501
3,22,0.35328325795819576
3,23,0.4243051903733763
3,24,0.1873350232178694
3,25,-0.27596449774904824
3,26,0.12364821396253452
3,27,-0.015747835329508904
3,28,0.11291094250074014
3,29,0.007207325802538434
3,30,-0.3201300604082654
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
5,1,0.04972361205883897
5,2,-0.8547861223448413
5,3,-0.18941728668141194
5,4,0
5,5,1.0
5,6,0.2676237867132232
5,7,0.06478851898405852
5,8,0.36427422339656207
5,9,0.06111479632296659
5,10,0.37132391742958304
5,11,0.22556509795446386
5,12,0.9216180304838582
5,13,0.36095059402129104
5,14,0.17245685812458839
5,15,0.35678467064632813
5,16,-0.635335745284661
5,17,0.7073865488195663
5,18,0.035406506498887
5,19,0.0978010495577899
5,20,0.0568358419405478
5,21,0.11568234418657358
5,22,-0.26530566027248886
5,23,-0.8002180225783556
5,24,-0.7982181674772504
5,25,-0.07235089526893594
5,26,-0.5380916117691305
5,27,0.6429429736733421
5,28,0.6756716892899065
5,29,0.3996595200095603
5,30,0.5952694285182073
6,1,-0.027993171915336318
6,2,-0.3912553997126496
6,3,-0.23172570929164632
6,4,0
6,5,0.2676237867132232
6,6,1.0
6,7,0.3034599400062966
6,8,-0.24264370556443182
6,9,-0.32190978832883244
6,10,0.6705807309056432
6,11,-0.10033484549322705
6,12,0.5490393780028077
6,13,0.8437889180966569
6,14,0.7641592142227888
6,15,0.8405532890023044
6,16,-0.27357289605644475
6,17,0.3113087603328547
6,18,-0.22298639639684692
6,19,0.4356711433150156
6,20,0.26107291820065637
6,21,0.5627286129825595
6,22,0.5049252666975039
6,23,-0.42364380683087827
6,24,-0.26040850182877984
6,25,-0.2334107135368555
6,26,-0.6381046496852673
6,27,0.6272724351715009
6,28,0.007600586536786627
6,29,0.6571406113890544
6,30,0.1287277343616908
7,1,-0.12398350793664879
7,2,-0.15101368522408365
7,3,-0.0694094788872541
7,4,0
7,5,0.06478851898405852
7,6,0.3034599400062966
7,7,1.0
7,8,-0.10154838156771198
7,9,-0.07575410291690529
7,10,0.08501620594967729
7,11,-0.054087134687801734
7,12,0.19192051040036906
7,13,0.24341291548576793
7,14,0.28885704414571184
7,15,0.2650151580511358
7,16,-0.05766031092762438
7,17,0.10624246917147653
7,18,-0.0004564193630005567
7,19,0.7010314765175306
7,20,0.8555450858658847
7,21,0.523615820368383
7,22,0.27294451695016536
7,23,0.007087678395113514
7,24,0.028921544489888745
7,25,-0.09530050898549017
7,26,-0.19694780705185705
7,27,0.18606985119223585
7,28,-0.023459242115622524
7,29,0.25611147819542357
7,30,0.05974259929340382
8,1,0.3908070886862089
8,2,-0.3910000838592029
8,3,-0.39102476188210433
8,4,0
8,5,0.3642742233965621
8,6,-0.24264370556443185
8,7,-0.10154838156771197
8,8,1.0
8,9,0.6120069480807839
8,10,-0.24222879305179434
8,11,0.658182990672672
8,12,0.17485264796055544
8,13,-0.2797857796182452
8,14,-0.197534767999565
8,15,-0.27297712264467633
8,16,0.14384066651163616
8,17,0.4012478075902728
8,18,0.6127289187334302
8,19,-0.14854547795297865
8,20,-0.08582490169053504
8,21,-0.1794644391945133
8,22,-0.7876685147933453
8,23,-0.44582059976427724
8,24,-0.24564287130390924
8,25,0.6796259013557039
8,26,-0.07230528188677647
8,27,0.011944803309384262
8,28,0.3116952872468174
8,29,-0.2715474548819647
8,30,0.49118005059282327
9,1,0.6066805030712363
9,2,-0.15440861164943465
9,3,-0.0812625575524534
9,4,0
9,5,0.06111479632296658
9,6,-0.3219097883288325
9,7,-0.0757541029169053
9,8,0.6120069480807839
9,9,0.9999999999999999
9,10,-0.21802468837047032
9,11,0.7403622415184478
9,12,-0.08220063829166199
9,13,-0.28763899221138634
9,14,-0.2840370127511231
9,15,-0.2773354719317445
9,16,0.39726840737844804
9,17,0.2041335763266955
9,18,0.3186993410366251
9,19,-0.13704167566070233
9,20,-0.06146231785267073
9,21,-0.18796747966423624
9,22,-0.5532642758626994
9,23,-0.17392383146732565
9,24,-0.08766312110883644
9,25,0.6208086443708087
9,26,-0.05386208424152225
9,27,0.003077199739263781
9,28,0.01843786163211523
9,29,-0.23963271471184674
9,30,0.23195122688731737
10,1,0.1433852299861771
10,2,-0.4500314605948818
10,3,-0.026935016156309503
10,4,0
10,5,0.3713239174295831
10,6,0.6705807309056432
10,7,0.08501620594967729
10,8,-0.24222879305179434
10,9,-0.21802468837047032
10,10,1.0
10,11,-0.05806520138333475
10,12,0.5623037936363305
10,13,0.8871354232673629
10,14,0.32887415776017825
10,15,0.8842407252231247
10,16,-0.3658719595049791
10,17,0.3246718223788828
10,18,-0.33866101497868684
10,19,0.11533865785907679
10,20,0.07531215648010199
10,21,0.16882964306062861
10,22,0.5257416018110128
10,23,-0.4224452100387891
10,24,-0.3185595935033732
10,25,-0.21086483456707675
10,26,-0.6102789942764849
10,27,0.8113098619331032
10,28,0.08712564969548467
10,29,0.8220072498014231
10,30,0.09294428761792536
11,1,0.6288857986189275
11,2,-0.46062909884838676
11,3,-0.36041330491578943
11,4,0
11,5,0.22556509795446386
11,6,-0.10033484549322706
11,7,-0.05408713468780173
11,8,0.658182990672672
11,9,0.7403622415184479
11,10,-0.05806520138333474
11,11,0.9999999999999999
11,12,0.12051873443644572
11,13,-0.09460055386584806
11,14,-0.1031789638839565
11,15,-0.0907901180638116
11,16,0.2755327711895522
11,17,0.4759914042058537
11,18,0.3807050472650307
11,19,-0.07638257128718848
11,20,-0.04543196264649062
11,21,-0.09110616961198956
11,22,-0.6039467115107557
11,23,-0.5322243843703084
11,24,-0.3801540194708944
11,25,0.5470546337920965
11,26,-0.1932752161271891
11,27,0.1701437473063925
11,28,0.12344888564790231
11,29,-0.09056874374884266
11,30,0.44106416040512947
12,1,0.05352216473954824
12,2,-0.8639066197137306
12,3,-0.14964542618972299
12,4,0
12,5,0.921618030483858
12,6,0.5490393780028077
12,7,0.1919205104003691
12,8,0.17485264796055544
12,9,-0.08220063829166198
12,10,0.5623037936363305
12,11,0.12051873443644569
12,12,1.0
12,13,0.6307294090424089
12,14,0.4381146365969912
12,15,0.6141248161887433
12,16,-0.7091066870805418
12,17,0.7203048930111183
12,18,-0.05271000460514399
12,19,0.26727311544088794
12,20,0.1688433615872036
12,21,0.3420377452404821
12,22,0.0024015519933489994
12,23,-0.8164589975033791
12,24,-0.7939970173120253
12,25,-0.17386156446436613
12,26,-0.7121863919744088
12,27,0.8238593530567332
12,28,0.6302635620187892
12,29,0.641370567289821
12,30,0.5219066791081126
13,1,0.04873566522944807
13,2,-0.48203720373688547
13,3,-0.09969487671213731
13,4,0
13,5,0.360950594021291
13,6,0.8437889180966569
13,7,0.24341291548576793
13,8,-0.2797857796182452
13,9,-0.2876389922113863
13,10,0.8871354232673629
13,11,-0.09460055386584806
13,12,0.6307294090424089
13,13,1.0
13,14,0.6793663480048865
13,15,0.9666566279701787
13,16,-0.3781470320308784
13,17,0.37696514021131683
13,18,-0.29114108702377806
13,19,0.37102586452135694
13,20,0.20951825888794598
13,21,0.5045763735062816
13,22,0.5965331832296671
13,23,-0.46437966538468695
13,24,-0.3380692748181725
13,25,-0.2492005126198668
13,26,-0.7114570566831252
13,27,0.8255117308325576
13,28,0.05328437294168962
13,29,0.8483396081879654
13,30,0.13580789869285317
14,1,-0.07133580057573867
14,2,-0.30254597443419196
14,3,-0.2162501418712922
14,4,0
14,5,0.17245685812458839
14,6,0.7641592142227888
14,7,0.28885704414571184
14,8,-0.197534767999565
14,9,-0.2840370127511231
14,10,0.32887415776017825
14,11,-0.10317896388395652
14,12,0.4381146365969912
14,13,0.6793663480048866
14,14,0.9999999999999999
14,15,0.6371388347359866
14,16,-0.2340669034512637
14,17,0.2703392662225553
14,18,-0.09835784303194614
14,19,0.43836843607002296
14,20,0.24510639866807313
14,21,0.6419406291669857
14,22,0.38292672948533213
14,23,-0.34561837131055384
14,24,-0.2356251287988957
14,25,-0.18860774047142664
14,26,-0.5384651164225237
