averageRating,numVotes
8.2,40307
7.3,15746
6.4,20985
7.8,13178
8.1,51942
8.3,102354
7.7,10860
7.9,83243
8.1,16862
8.1,11433
8.2,35533
8.0,49439
8.2,92448
7.6,15577
8.1,13072
8.3,149153
8.1,74164
8.1,44476
7.5,10477
8.2,23774
8.1,42516
7.9,12073
8.4,20486
7.7,43183
8.0,54511
7.6,12512
7.7,12776
7.3,11122
7.3,11804
8.5,153552
7.5,42885
7.8,60631
8.3,132706
7.5,10698
7.7,16518
7.6,11765
7.9,39570
7.4,16126
7.6,11112
8.2,10847
7.1,21613
7.8,23602
8.0,10714
8.0,12032
7.6,14400
7.8,53219
7.7,27308
7.9,75295
7.8,13387
8.1,87113
6.8,15697
8.0,24752
7.3,14093
7.7,48025
7.8,40514
7.7,12143
7.7,19457
7.9,29140
7.8,16178
7.9,10484
8.5,199285
7.9,18538
8.0,19296
7.6,11624
7.1,13592
7.6,11417
7.7,16592
7.6,12353
8.1,31742
7.7,11400
7.6,169615
7.9,44825
7.9,18762
7.9,52053
7.8,13221
7.5,11064
7.8,43925
7.9,21757
8.1,270885
7.4,10370
8.1,100579
7.9,17677
7.7,11408
8.0,11787
8.1,24895
7.9,39611
8.0,358283
7.8,11834
7.6,15277
7.8,83587
7.5,16957
8.0,82527
8.5,187598
7.9,49769
7.6,10744
7.9,59793
7.4,120908
8.1,113907
8.1,25246
7.5,11092
8.3,373472
7.2,111828
7.5,13997
7.7,19700
7.8,17769
8.0,143016
7.7,11240
7.7,14386
8.0,22386
7.4,29878
7.3,21827
7.3,122489
8.5,489763
7.3,18270
7.4,12150
7.7,20801
7.6,14667
8.0,13953
7.5,10128
7.2,21633
6.4,75544
8.3,24103
7.7,13196
7.1,10207
8.1,12119
8.0,19548
7.9,55356
8.0,62621
8.3,132623
7.8,21968
8.0,54433
8.0,39670
7.7,24889
7.6,18916
7.6,11173
7.9,28825
7.7,12533
7.5,11649
8.0,32757
7.4,13437
8.4,17146
7.9,31376
8.0,20919
7.5,10966
7.8,13018
7.6,40360
6.5,11013
7.9,22853
7.9,75101
7.7,25652
7.8,20775
8.6,369578
7.8,17640
8.1,17778
7.8,19976
7.9,87002
7.5,17234
8.1,21171
7.1,10457
7.4,20599
7.6,12989
7.8,19844
7.6,16467
7.2,13759
7.9,14589
7.9,37843
7.9,14572
8.0,30013
7.5,13662
7.5,15304
7.6,14243
7.8,34902
8.3,133038
7.6,24199
8.0,10234
7.6,11070
7.8,10522
7.8,26162
8.2,26651
8.0,118760
8.2,106570
7.5,18259
7.0,11374
7.5,12290
8.3,12696
8.2,12291
8.0,32658
7.9,13694
7.4,15006
7.3,14704
8.1,149283
7.7,11640
8.2,26384
8.2,112647
7.9,22309
7.3,135855
7.6,10473
7.9,50825
8.0,23308
7.9,10989
8.3,16677
8.2,140250
7.2,13067
7.1,11681
8.4,185722
7.7,15535
8.4,21028
7.7,67908
7.4,120134
7.2,28201
8.2,26494
7.7,73562
8.1,10373
7.8,18627
7.2,12603
8.1,18593
8.0,116811
8.0,93612
7.2,23750
7.8,12020
6.6,11956
7.9,92385
8.3,61007
7.6,11759
8.1,16621
7.0,12140
7.8,32533
8.3,203604
8.2,20832
8.0,21446
7.6,40383
7.2,28940
7.1,15056
6.9,19283
7.3,17730
7.0,13804
7.3,116829
7.7,11824
8.0,120018
8.1,50001
7.6,34468
7.6,11305
8.0,48910
8.2,46055
8.3,18681
7.5,15511
7.9,13437
7.1,30540
7.2,26826
7.7,23155
7.0,24003
8.0,58256
8.2,144990
7.6,26584
7.7,14337
8.1,132323
8.4,412426
7.7,55046
8.4,13086
7.4,19964
8.6,293711
7.6,14531
8.0,54313
7.2,18515
7.6,29466
6.8,13698
8.5,13603
7.6,12208
7.2,13920
7.7,17851
8.2,23685
7.9,37825
7.2,14460
6.7,19675
7.6,17206
7.3,113623
7.7,24652
7.7,19831
7.7,14578
8.0,76989
8.6,15986
7.0,10554
8.3,12702
8.6,20104
7.7,78143
7.1,31691
7.8,11399
7.4,58626
7.1,31263
8.3,10018
6.8,22814
7.5,11972
8.2,15378
6.5,10093
7.9,10702
7.6,42674
7.6,31946
7.0,12903
7.7,42133
8.0,75791
7.4,22617
7.5,53451
7.3,15974
7.9,75050
7.8,58885
8.3,16698
8.9,631352
7.6,17069
7.5,26220
8.1,190808
8.2,12609
7.0,24769
7.2,12826
7.6,14740
8.1,41262
8.3,13429
7.2,12819
7.8,17239
7.5,11138
8.1,39692
7.3,10885
8.4,162709
8.2,148673
8.2,87176
8.1,25339
8.4,97060
7.4,23620
7.1,10866
8.0,18996
7.9,14365
6.4,21143
8.0,41925
7.6,12394
7.3,19318
7.1,19514
6.7,18355
6.9,21192
8.1,30876
7.9,12643
4.0,34421
8.0,94226
8.3,332739
7.1,11792
9.0,64570
8.0,55477
8.5,10286
8.1,206457
7.4,11298
7.9,25732
7.9,13807
7.0,14421
8.3,279894
7.2,11213
7.3,11599
7.7,17697
7.4,14392
8.1,95570
8.0,52315
7.2,126544
8.2,227547
7.6,12887
7.7,24020
7.9,66826
8.3,11073
8.6,29457
7.5,30655
6.9,13509
8.3,149830
7.9,23840
8.0,60609
7.0,11090
8.1,25396
8.1,24444
6.3,15143
7.7,82697
7.2,12533
8.1,15967
6.6,18782
7.7,28073
7.8,12445
8.5,558040
8.3,14937
7.9,116329
7.2,12770
7.6,33915
7.5,15975
8.6,13413
7.3,13863
7.8,18670
7.7,155033
7.8,13386
7.2,12022
7.5,42965
8.0,71850
7.8,24524
8.2,63884
7.8,34392
7.3,16106
7.2,142515
7.9,18165
7.1,17512
7.1,11633
7.8,16513
8.1,20655
7.5,13814
8.2,20364
7.5,90289
8.2,101743
7.0,17092
7.8,14926
7.7,24508
7.1,18669
7.9,13431
7.9,10693
8.1,10524
7.3,137561
8.7,28708
7.2,11023
7.1,17336
8.1,27631
8.3,27241
8.3,250125
7.6,85914
7.8,50006
8.1,64237
7.9,68490
8.1,14946
7.7,15125
7.3,14052
7.5,18446
7.5,11280
8.1,29110
8.3,279220
8.0,24464
8.1,46659
8.1,26858
7.9,15484
8.4,33735
8.0,101567
7.7,159657
7.9,62233
7.0,27234
8.4,425569
7.4,108948
8.0,20960
8.2,210297
7.5,32412
7.9,17977
7.4,15816
7.5,35601
7.3,21870
6.9,16406
7.2,12013
7.6,25736
8.1,19483
6.7,14551
7.1,45598
7.8,17790
7.4,10160
7.2,82991
8.5,24839
6.5,10748
7.9,16215
7.9,12859
7.5,15190
7.3,11680
7.8,11169
7.7,19221
7.8,20723
7.8,12920
7.6,12472
8.0,18015
7.2,10199
7.7,162021
7.6,37775
7.6,11864
8.0,13516
7.2,41604
7.8,147815
7.0,11302
7.8,81566
7.6,10105
8.0,14235
7.8,21330
8.0,183345
8.1,24020
2.6,10413
7.9,11770
7.5,24058
8.5,15490
6.9,16053
7.7,33975
8.2,10152
7.4,11869
8.4,14916
7.2,20984
8.1,48716
6.8,13782
6.8,12512
8.3,29104
7.3,14199
8.0,65891
6.7,12986
7.5,17948
7.6,10556
7.2,15143
7.2,16284
7.9,11314
7.2,12818
8.6,10888
8.3,214371
7.6,26133
7.7,45241
7.2,13394
8.0,188129
7.6,13456
7.0,97900
7.8,13014
7.1,11984
7.5,17424
8.3,68137
7.1,12707
8.2,41079
7.9,15911
6.5,28228
7.6,52264
8.8,644054
7.1,10761
7.2,22958
8.3,42062
7.2,39122
6.8,16101
7.3,11736
8.0,14565
7.6,22809
8.2,14981
7.7,28936
1.9,33927
7.6,11466
7.7,10425
8.1,91043
7.3,12800
7.6,12491
7.7,14845
6.7,22880
8.0,65644
8.4,11713
7.0,15291
7.7,36945
7.8,96673
5.2,25583
8.1,152548
7.8,63174
7.6,22413
7.2,27848
8.0,242831
7.8,36119
7.0,32661
7.4,10457
7.9,22542
8.0,62305
7.6,155497
7.9,17341
7.4,17163
8.1,40861
7.7,14639
7.5,11247
7.8,25912
7.2,12284
6.9,90600
8.3,560985
7.2,10825
7.7,10659
5.9,29993
8.5,12105
7.4,56692
6.9,38408
6.5,14557
7.4,17329
7.7,12700
5.8,11512
7.9,27538
7.9,108567
7.7,29793
7.4,32195
7.6,35610
8.0,158514
7.6,47313
7.6,27925
8.0,177418
8.1,10937
7.2,10870
7.0,20884
7.7,16667
7.4,23242
7.6,20683
6.6,11524
8.8,62454
7.6,14444
7.8,27608
8.1,11154
8.2,18594
7.0,19558
8.0,192078
8.5,280869
7.3,93102
7.3,14012
7.1,12537
7.3,38485
7.9,17140
6.5,13176
7.8,93817
6.7,73943
6.6,11401
6.9,13863
7.3,26692
7.9,15138
6.3,15566
7.4,39742
7.0,22007
7.2,16274
7.7,48624
7.9,73731
8.3,22002
6.6,16336
7.1,86116
6.1,39728
7.2,20808
8.0,19844
8.0,24297
7.5,31015
7.9,10040
3.3,16273
7.6,42557
7.6,31184
6.9,27919
7.5,64472
7.9,89743
7.7,11030
6.7,45504
7.5,30012
8.2,15188
7.0,13701
8.3,13103
7.1,12605
8.8,24158
7.6,27736
7.2,31199
7.0,32342
7.1,31906
7.2,14576
7.2,10368
7.0,10366
8.3,710621
7.8,12329
6.6,88888
7.7,134996
7.6,58568
6.3,30126
8.0,36238
7.7,102233
7.4,26981
7.7,27459
7.9,67002
7.9,14551
7.1,20152
8.0,38951
7.5,17914
7.4,11819
7.7,20391
7.4,17186
6.5,27203
7.1,14806
7.0,23831
6.6,15431
6.7,25188
7.5,53312
7.1,22691
7.5,23543
7.2,10441
7.2,25329
7.6,21342
7.8,166100
8.4,47786
7.3,13138
8.0,48278
7.8,45108
7.9,34766
6.1,28595
7.4,12340
7.7,93381
6.8,36463
7.4,38233
6.3,10389
7.4,25891
9.2,1494591
7.5,46566
7.6,26711
7.4,23839
6.5,15554
6.0,30557
6.9,11609
7.3,29508
6.1,20614
7.6,23425
7.1,38611
7.4,10706
6.9,11509
8.0,42692
8.1,72932
8.1,26915
7.7,17951
7.4,76706
7.4,11106
7.8,60417
5.5,27444
7.5,10020
6.1,10215
6.4,20636
7.8,35191
7.3,45039
6.9,15856
7.7,91011
7.9,15486
8.0,343365
7.2,10966
7.5,21641
8.4,13848
7.4,23667
7.5,20560
6.7,11376
6.8,90015
7.6,23384
7.2,52591
7.3,90243
8.0,18443
8.1,39078
8.0,115414
7.3,16886
7.8,21607
7.6,107309
7.3,14329
8.4,14056
7.7,100253
6.9,13921
7.2,38253
7.1,53771
8.3,226673
7.0,46364
7.1,20766
7.0,47993
7.5,62379
5.9,18131
7.4,14772
7.4,15153
9.2,19732
7.3,19726
7.9,36492
8.1,17089
7.2,29602
7.7,118721
7.5,16979
8.2,273957
7.8,89881
7.0,33118
8.3,21732
5.9,12887
7.9,13056
7.3,11425
9.0,1046264
6.4,22415
7.9,32980
7.8,15377
7.6,13480
7.1,15992
6.8,88905
8.2,473947
7.3,51188
6.7,10438
7.1,13691
7.4,15126
7.1,23387
6.8,14240
7.7,24446
7.5,126061
7.2,14615
7.1,20766
6.9,36610
8.2,18963
8.0,136038
8.1,34493
8.7,78900
8.1,40290
8.1,137210
6.5,15606
8.4,10488
6.2,23081
8.0,223069
7.7,13864
6.4,16398
7.8,13637
8.5,11939
6.8,15621
7.6,11115
8.2,10154
8.0,520597
7.7,33667
7.8,41756
7.7,21810
7.1,10762
8.7,856635
7.5,31213
7.6,19262
7.6,28829
7.4,125050
6.6,20928
6.9,10094
5.9,49967
6.5,16169
8.2,48155
6.9,15074
7.5,44100
6.6,18220
8.7,14723
8.3,21441
7.7,20931
6.6,16879
8.0,95350
7.4,40524
7.3,19134
6.9,14944
7.4,157639
6.9,17689
6.8,38920
7.4,93817
6.8,19078
7.5,23940
5.9,28151
7.1,11817
7.7,35692
6.8,48776
6.7,22305
7.5,54321
8.2,41009
6.8,16583
7.4,31130
8.1,135571
7.5,101012
7.9,61592
7.2,26154
6.5,10656
8.1,486633
7.7,20727
6.7,15186
6.9,16755
7.9,12063
8.3,666196
8.5,18253
8.3,15298
7.5,11094
7.8,12608
7.4,12417
8.0,240857
7.4,48523
7.9,18835
7.6,171992
6.2,10366
7.4,18150
3.8,20392
6.3,10923
6.4,19691
8.1,10283
7.4,11693
6.7,18680
7.4,17833
6.2,12201
6.5,16188
8.9,12864
7.6,30400
6.7,16886
6.4,21030
7.4,20387
6.3,14246
6.9,54059
6.8,65971
7.3,32620
7.0,42056
7.7,10465
7.7,15681
7.1,91662
8.6,1154828
7.4,71951
7.1,12805
6.9,10708
7.0,11014
7.6,10675
7.0,24017
6.9,19047
6.9,16214
7.3,11549
6.4,14065
6.3,27505
7.9,105817
7.9,47682
7.3,25551
8.1,291941
7.8,10361
7.2,12949
6.4,21776
6.4,15770
6.8,12727
6.4,12561
6.1,15732
7.2,218719
7.8,214525
6.9,17326
6.3,27709
6.8,11817
8.3,22115
5.7,24525
7.4,17029
7.4,48210
5.8,66556
8.2,15052
6.2,28113
7.6,67860
7.5,106894
5.9,17563
6.7,18906
7.7,13474
7.3,151284
7.0,34218
7.6,31785
6.8,10956
5.4,12992
7.4,28388
6.1,14343
5.8,29832
8.4,736764
7.9,25347
6.2,33289
8.4,566021
8.0,61863
6.0,21719
7.3,10938
7.5,20969
7.7,20525
6.8,23336
5.9,47521
7.4,25123
7.8,11257
7.6,108070
8.6,16186
6.9,14743
7.6,33055
7.2,50260
7.8,122363
8.1,344133
6.9,180895
7.9,124412
6.2,17800
6.3,84259
8.1,10488
7.6,30378
7.5,29862
6.8,29557
7.3,16015
7.2,179163
7.7,23348
6.8,19182
8.2,102915
6.4,76728
7.3,13967
7.1,14390
6.9,23868
7.6,87880
7.5,33491
7.4,20307
8.1,10846
8.6,11283
7.8,11502
6.8,25491
7.7,196013
6.9,30161
6.2,20000
6.2,16365
7.3,13704
4.6,11782
7.2,17754
5.8,59407
7.9,171628
6.1,10167
7.2,14848
7.3,99407
5.4,31969
7.2,27635
6.1,11211
7.5,15644
6.4,17269
7.4,11415
7.1,31939
8.1,205459
8.7,1086031
6.6,18998
6.7,19766
6.5,47119
6.8,59265
6.5,110295
7.3,50042
6.8,12699
6.6,16967
8.0,29520
8.4,12910
7.6,17608
6.5,12954
7.7,43492
6.3,14481
5.2,27725
6.2,22146
5.4,14004
8.2,298880
6.8,44410
8.4,823146
5.3,13943
7.2,25216
7.3,19934
6.8,23421
6.8,93111
7.0,54916
6.3,12300
6.7,12705
6.7,10753
5.2,11230
8.9,23820
9.3,33169
8.9,42657
7.2,14328
6.9,11203
7.5,85314
6.9,24410
7.4,39441
7.4,28805
8.3,216910
6.4,14221
6.3,31252
7.2,50623
7.6,20135
6.9,38500
6.9,130996
6.1,13465
7.2,11145
6.7,13885
6.8,18631
6.6,13702
7.2,115773
7.4,54631
5.6,17365
6.8,85837
7.3,79413
7.0,11182
6.1,54067
5.9,11347
7.4,34755
7.2,12569
7.3,19531
6.5,69589
6.7,29235
6.9,43642
6.6,28955
7.6,158106
6.7,13425
6.3,16147
7.8,16109
6.4,15871
7.6,25964
6.6,25581
7.4,21734
6.6,20335
7.6,12011
6.2,11480
8.4,833793
7.3,19503
7.2,14979
6.9,60868
6.8,15766
